iliad,13,130,SDDDDA,φράξαντες δόρυ δουρί ,σάκος σάκεϊ προθελύμνῳ
iliad,13,131,DDDDDA,ἀσπὶς ἄρ ἀσπίδ ἔρειδε ,κόρυς κόρυν ἀνέρα δ ἀνήρ
iliad,13,132,SDDSDA,ψαῦον δ ἱππόκομοι ,κόρυθες λαμπροῖσι φάλοισι
iliad,13,133,SSDDSA,νευόντων ὡς πυκνοὶ ,ἐφέστασαν ἀλλήλοισιν
iliad,13,134,DSDSDA,ἔγχεα δ ἐπτύσσοντο ,θρασειάων ἀπὸ χειρῶν
iliad,13,135,DSDDDA,σειόμεν οἳ δ ἰθὺς ,φρόνεον μέμασαν δὲ μάχεσθαι
iliad,13,136,SSDDDA,τρῶες δὲ προὔτυψαν ,ἀολλέες ἦρχε δ ἄρ ἕκτωρ
iliad,13,137,SDDDDA,ἀντικρὺ μεμαώς ,ὀλοοίτροχος ὣς ἀπὸ πέτρης
iliad,13,138,DDDSDA,ὅν τε κατὰ στεφάνης ,ποταμὸς χειμάρροος ὤσῃ
iliad,13,139,SDDDDA,ῥήξας ἀσπέτῳ ὄμβρῳ ,ἀναιδέος ἔχματα πέτρης
iliad,13,140,DSDDDA,ὕψι δ ἀναθρῴσκων ,πέτεται κτυπέει δέ θ ὑπ αὐτοῦ
iliad,13,141,DDDDDA,ὕλη ὃ δ ἀσφαλέως ,θέει ἔμπεδον εἷος ἵκηται
iliad,13,142,DDDDDA,ἰσόπεδον τότε δ οὔ ,τι κυλίνδεται ἐσσύμενός περ
iliad,13,143,SSDSDA,ὣς ἕκτωρ εἷος ,μὲν ἀπείλει μέχρι θαλάσσης
iliad,13,144,DSDSDA,ῥέα διελεύσεσθαι ,κλισίας καὶ νῆας ἀχαιῶν
iliad,13,145,SDDDDA,κτείνων ἀλλ ὅτε δὴ ,πυκινῇς ἐνέκυρσε φάλαγξι
iliad,13,146,DSSDDA,στῆ ῥα μάλ ἐγχριμφθείς ,οἳ δ ἀντίοι υἷες ἀχαιῶν
iliad,13,147,SDDDDA,νύσσοντες ξίφεσίν ,τε καὶ ἔγχεσιν ἀμφιγύοισιν
iliad,13,148,DSDDDA,ὦσαν ἀπὸ σφείων ,ὃ δὲ χασσάμενος πελεμίχθη
iliad,13,149,SDDSDA,ἤϋσεν δὲ διαπρύσιον ,τρώεσσι γεγωνώς
iliad,13,150,SDSDDA,τρῶες καὶ λύκιοι ,καὶ δάρδανοι ἀγχιμαχηταὶ
iliad,13,151,DSDSDA,παρμένετ οὔ τοι δηρὸν ,ἐμὲ σχήσουσιν ἀχαιοὶ
iliad,13,152,DSDSSA,καὶ μάλα πυργηδὸν ,σφέας αὐτοὺς ἀρτύναντες
iliad,13,153,DSDDDA,ἀλλ ὀΐω χάσσονται ,ὑπ ἔγχεος εἰ ἐτεόν με
iliad,13,154,DSDSDA,ὦρσε θεῶν ὤριστος ,ἐρίγδουπος πόσις ἥρης
iliad,13,155,SSDSDA,ὣς εἰπὼν ὄτρυνε ,μένος καὶ θυμὸν ἑκάστου
iliad,13,156,DSDDDA,δηΐφοβος δ ἐν τοῖσι ,μέγα φρονέων ἐβεβήκει
iliad,13,157,DSDDDA,πριαμίδης πρόσθεν ,δ ἔχεν ἀσπίδα πάντοσ ἐΐσην
iliad,13,158,DDDDDA,κοῦφα ποσὶ προβιβὰς ,καὶ ὑπασπίδια προποδίζων
iliad,13,159,DSDDDA,μηριόνης δ αὐτοῖο ,τιτύσκετο δουρὶ φαεινῷ
iliad,13,160,DDDDDA,καὶ βάλεν οὐδ ἀφάμαρτε ,κατ ἀσπίδα πάντοσ ἐΐσην
iliad,13,161,SSDDDA,ταυρείην τῆς δ οὔ ,τι διήλασεν ἀλλὰ πολὺ πρὶν
iliad,13,162,SDDDDA,ἐν καυλῷ ἐάγη ,δολιχὸν δόρυ δηΐφοβος δὲ
iliad,13,163,DSDDDA,ἀσπίδα ταυρείην ,σχέθ ἀπὸ ἕο δεῖσε δὲ θυμῷ
iliad,13,164,SDDDDA,ἔγχος μηριόναο ,δαΐφρονος αὐτὰρ ὅ γ ἥρως
iliad,13,165,DSDDDA,ἂψ ἑτάρων εἰς ἔθνος ,ἐχάζετο χώσατο δ αἰνῶς
iliad,13,166,DSDDDA,ἀμφότερον νίκης ,τε καὶ ἔγχεος ὃ ξυνέαξε
iliad,13,167,DDDSDA,βῆ δ ἰέναι παρά τε ,κλισίας καὶ νῆας ἀχαιῶν
iliad,13,168,DDDDDA,οἰσόμενος δόρυ μακρόν ,ὅ οἱ κλισίηφι λέλειπτο
iliad,13,169,SSDSDA,οἳ δ ἄλλοι μάρναντο ,βοὴ δ ἄσβεστος ὀρώρει
iliad,13,170,SSDDDA,τεῦκρος δὲ πρῶτος ,τελαμώνιος ἄνδρα κατέκτα
iliad,13,171,DSDSDA,ἴμβριον αἰχμητὴν ,πολυΐππου μέντορος υἱόν
iliad,13,172,DSSSDA,ναῖε δὲ πήδαιον ,πρὶν ἐλθεῖν υἷας ἀχαιῶν
iliad,13,173,SDDDDA,κούρην δὲ πριάμοιο ,νόθην ἔχε μηδεσικάστην
iliad,13,174,DDDDDA,αὐτὰρ ἐπεὶ δαναῶν ,νέες ἤλυθον ἀμφιέλισσαι
iliad,13,175,SDDDSA,ἂψ ἐς ἴλιον ἦλθε ,μετέπρεπε δὲ τρώεσσι
iliad,13,176,DDDDDA,ναῖε δὲ πὰρ πριάμῳ ,ὃ δέ μιν τίεν ἶσα τέκεσσι
iliad,13,177,SDDDDA,τόν ῥ υἱὸς τελαμῶνος ,ὑπ οὔατος ἔγχεϊ μακρῷ
iliad,13,178,SDDDDA,νύξ ἐκ δ ἔσπασεν ἔγχος ,ὃ δ αὖτ ἔπεσεν μελίη ὣς
iliad,13,179,DDDDDA,ἥ τ ὄρεος κορυφῇ ,ἕκαθεν περιφαινομένοιο
iliad,13,180,SDDDDA,χαλκῷ ταμνομένη ,τέρενα χθονὶ φύλλα πελάσσῃ
iliad,13,181,DDDDDA,ὣς πέσεν ἀμφὶ δέ οἱ ,βράχε τεύχεα ποικίλα χαλκῷ
iliad,13,182,SSDDDA,τεῦκρος δ ὁρμήθη ,μεμαὼς ἀπὸ τεύχεα δῦσαι
iliad,13,183,SSDDDA,ἕκτωρ δ ὁρμηθέντος ,ἀκόντισε δουρὶ φαεινῷ
iliad,13,184,DDSDDA,ἀλλ ὃ μὲν ἄντα ἰδὼν ,ἠλεύατο χάλκεον ἔγχος
iliad,13,185,DDDSDA,τυτθόν ὃ δ ἀμφίμαχον ,κτεάτου υἷ ἀκτορίωνος
iliad,13,186,DDDSDA,νισόμενον πόλεμον ,δὲ κατὰ στῆθος βάλε δουρί
iliad,13,187,SDDDDA,δούπησεν δὲ πεσών ,ἀράβησε δὲ τεύχε ἐπ αὐτῷ
iliad,13,188,SSDDDA,ἕκτωρ δ ὁρμήθη ,κόρυθα κροτάφοις ἀραρυῖαν
iliad,13,189,DSDDDA,κρατὸς ἀφαρπάξαι ,μεγαλήτορος ἀμφιμάχοιο
iliad,13,190,SSDDDA,αἴας δ ὁρμηθέντος ,ὀρέξατο δουρὶ φαεινῷ
iliad,13,191,DSDDDA,ἕκτορος ἀλλ οὔ πῃ ,χροὸς εἴσατο πᾶς δ ἄρα χαλκῷ
iliad,13,192,DDDDDA,σμερδαλέῳ κεκάλυφθ ,ὃ δ ἄρ ἀσπίδος ὀμφαλὸν οὖτα
iliad,13,193,DDDDDA,ὦσε δέ μιν σθένεϊ ,μεγάλῳ ὃ δὲ χάσσατ ὀπίσσω
iliad,13,194,SDSSDA,νεκρῶν ἀμφοτέρων ,τοὺς δ ἐξείρυσσαν ἀχαιοί
iliad,13,195,DDDSDA,ἀμφίμαχον μὲν ἄρα ,στιχίος δῖός τε μενεσθεὺς
iliad,13,196,DSDDDA,ἀρχοὶ ἀθηναίων ,κόμισαν μετὰ λαὸν ἀχαιῶν
iliad,13,197,DSDDDA,ἴμβριον αὖτ αἴαντε ,μεμαότε θούριδος ἀλκῆς
iliad,13,198,DDDDDA,ὥς τε δύ αἶγα λέοντε ,κυνῶν ὕπο καρχαροδόντων
iliad,13,199,SDDSDA,ἁρπάξαντε φέρητον ,ἀνὰ ῥωπήϊα πυκνὰ
iliad,13,200,DSDSDA,ὑψοῦ ὑπὲρ γαίης ,μετὰ γαμφηλῇσιν ἔχοντε
